2018-May-20 10:20:21.057883 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:21.618996 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:22.339044 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:23.080507 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:23.798224 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:24.527396 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:25.254369 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:20:25.990824 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:39.934574 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:40.880953 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:41.814772 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:42.758883 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:43.703430 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:44.650556 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:45.589649 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:46.531672 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:47.474314 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:48.428348 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:49.360018 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:50.304965 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:51.238536 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:52.183185 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:53.126301 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:54.069319 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:55.013876 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:55.948964 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:56.899591 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:57.842624 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:58.785825 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:25:59.727269 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:00.668852 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:01.611930 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:02.545993 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:03.493077 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:04.438206 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:05.383258 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:06.317413 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:07.260038 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:08.206072 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:09.148573 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:10.094146 0 1 2 3 4 5 6 7 8 9
2018-May-20 10:26:11.028707 0 1 2 3 4 5 6 7 8 9
